TRAESCS5A02G373300	TRAESCS5A02G373300	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS5A02G373300&keyword=yield%2520OR%2520grain
TRAESCS1B02G438100	TRAESCS1B02G438100	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS1B02G438100&keyword=yield%2520OR%2520grain
TRAESCS2A02G123100	TRAESCS2A02G123100	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS2A02G123100&keyword=yield%2520OR%2520grain
TRAESCS1B02G375600	TRAESCS1B02G375600	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS1B02G375600&keyword=yield%2520OR%2520grain
TRAESCS3D02G022500	TRAESCS3D02G022500	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS3D02G022500&keyword=yield%2520OR%2520grain
TRAESCS2B02G531600	TRAESCS2B02G531600	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS2B02G531600&keyword=yield%2520OR%2520grain
TRAESCS5D02G562500	TRAESCS5D02G562500	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS5D02G562500&keyword=yield%2520OR%2520grain
TRAESCS7A02G472200	TRAESCS7A02G472200	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS7A02G472200&keyword=yield%2520OR%2520grain
TRAESCS3D02G269000	UBC39	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS3D02G269000&keyword=yield%2520OR%2520grain
TRAESCS3A02G231800	TRAESCS3A02G231800	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS3A02G231800&keyword=yield%2520OR%2520grain
TRAESCS7A02G451400	TRAESCS7A02G451400	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS7A02G451400&keyword=yield%2520OR%2520grain
TRAESCS6B02G264700	TRAESCS6B02G264700	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS6B02G264700&keyword=yield%2520OR%2520grain
TRAESCS7A02G472000	TRAESCS7A02G472000	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS7A02G472000&keyword=yield%2520OR%2520grain
TRAESCS3D02G518600	TRAESCS3D02G518600	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS3D02G518600&keyword=yield%2520OR%2520grain
TRAESCS5D02G562600	TRAESCS5D02G562600	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS5D02G562600&keyword=yield%2520OR%2520grain
TRAESCS2B02G041900	TRAESCS2B02G041900	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS2B02G041900&keyword=yield%2520OR%2520grain
TRAESCS2B02G588300	TRAESCS2B02G588300	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS2B02G588300&keyword=yield%2520OR%2520grain
TRAESCS7A02G472100	TRAESCS7A02G472100	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS7A02G472100&keyword=yield%2520OR%2520grain
TRAESCS1D02G367200	TRAESCS1D02G367200	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS1D02G367200&keyword=yield%2520OR%2520grain
TRAESCS2B02G588400	CDP1	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS2B02G588400&keyword=yield%2520OR%2520grain
TRAESCS7A02G471100	MEE44	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS7A02G471100&keyword=yield%2520OR%2520grain
